,observation,fips,year,price,pop,pop16,cpi,ndi,sales,pimin,state,adjusted_price,adjusted_min_price,adjusted_ndi,ndi_by_100
255,256,11,1978,54.7,5075.0,3711.3,65.2,5893.4195793,130.6,49.2,DC,2.01547687117,1.81282380368,21714.9010131,217.149010131
256,257,11,1979,56.6,5117.0,3764.7,72.6,6422.7005519,131.0,50.2,DC,1.87291426997,1.66113597796,21252.9461403,212.529461403
257,258,11,1980,59.3,5464.0,4036.7,82.4,7014.0066384,134.0,52.3,DC,1.72888286408,1.5247988835,20449.2342085,204.492342085
258,259,11,1981,62.6,5574.0,4133.1,90.9,7744.8692314,131.7,54.7,DC,1.65443053905,1.44564457646,20468.6073122,204.686073122
259,260,11,1982,67.8,5639.0,4197.0,96.5,8357.8841078,131.2,61.9,DC,1.68787573057,1.54099568912,20806.8875287,208.068875287
260,261,11,1983,78.9,5732.0,4283.8,99.6,9010.1815564,128.6,72.4,DC,1.90307433735,1.74629381526,21732.630285,217.32630285
261,262,11,1984,86.8,5837.0,4382.1,103.9,9955.0307926,126.3,81.3,DC,2.00697640038,1.87980623677,23017.8708132,230.178708132
262,263,11,1985,90.7,5973.0,4486.1,107.6,10577.349436,128.8,83.0,DC,2.02503765799,1.85312156134,23615.8003634,236.158003634
263,264,11,1986,100.1,6100.0,4595.9,109.6,11423.992242,129.0,88.7,DC,2.19412624088,1.94424572993,25040.6405132,250.406405132
264,265,11,1987,103.9,6222.0,4698.0,113.6,12115.572263,129.3,95.3,DC,2.19722890845,2.01536010563,25621.4491036,256.214491036
265,266,11,1988,109.2,6342.0,4778.0,118.3,12925.0,124.1,99.9,DC,2.21756307692,2.02870468301,26247.2552832,262.472552832
266,267,11,1989,122.4,6436.0,4842.0,124.0,13464.0,117.1,111.9,DC,2.37136180645,2.16793616129,26084.979871,260.84979871
267,268,11,1990,132.3,6503.3,4892.6,130.7,14354.0,113.8,125.2,DC,2.43176915073,2.30126604438,26383.6843458,263.836843458
268,269,11,1991,138.2,6648.8,4987.7,136.2,14694.0,109.6,129.0,DC,2.43763694567,2.27536299559,25917.9719824,259.179719824
269,270,11,1992,159.5,6777.3,5088.7,140.3,15943.0,109.2,151.9,DC,2.73112202423,2.60098705631,27299.2341269,272.992341269
270,271,13,1963,28.0,689.0,451.6,30.6,1938.8138772,97.0,24.9,GA,2.1982379085,1.95486156863,15221.3362942,152.213362942
271,272,13,1964,29.4,687.0,453.5,31.0,2021.6064698,90.1,26.2,GA,2.27836722581,2.03038167742,15666.5371574,156.665371574
272,273,13,1965,29.1,693.0,461.2,31.5,2302.4724801,95.2,26.1,GA,2.21932304762,1.99052685714,17559.8977374,175.598977374
273,274,13,1966,29.8,700.0,468.9,32.4,2314.0005626,94.5,26.5,GA,2.20957802469,1.96489320988,17157.599974,171.57599974
274,275,13,1967,30.1,701.0,474.7,33.4,2445.0015002,98.3,27.4,GA,2.16500107784,1.97079832335,17586.1491138,175.861491138
275,276,13,1968,32.0,709.0,485.3,34.8,2559.2343179,99.1,32.3,GA,2.20906666667,2.22977666667,17667.2475746,176.672475746
276,277,13,1969,31.9,718.0,487.2,36.7,2813.9001406,100.6,32.6,GA,2.08815487738,2.13397645777,18419.6216397,184.196216397
277,278,13,1970,33.8,713.0,493.0,38.8,3058.0858884,102.4,34.0,GA,2.09277752577,2.10516082474,18934.5959146,189.345959146
278,279,13,1971,33.6,735.0,513.2,40.5,3245.6792311,108.5,34.4,GA,1.99306903704,2.04052306173,19252.5677966,192.525677966
279,280,13,1972,33.7,756.0,533.4,41.8,3615.625879,126.1,34.4,GA,1.93683090909,1.97706181818,20779.9880064,207.799880064
280,281,13,1973,36.3,772.0,547.9,44.4,4165.8298172,121.8,34.4,GA,1.96409162162,1.86128792793,22540.1417109,225.401417109
281,282,13,1974,38.0,794.0,568.1,49.3,4643.7212377,125.6,35.8,GA,1.85171764706,1.74451294118,22628.5804312,226.285804312
282,283,13,1975,40.3,815.0,586.4,53.8,4804.0663854,123.3,38.6,GA,1.79953732342,1.7236263197,21451.8530142,214.518530142
283,284,13,1976,42.5,836.0,604.7,56.9,5161.4369433,125.1,42.6,GA,1.79438137083,1.79860344464,21791.9677594,217.919677594
284,285,13,1977,45.6,859.0,623.0,60.6,5555.4877637,125.0,43.4,GA,1.80771643564,1.7205020462,22023.5669703,220.235669703
285,286,13,1978,51.5,882.0,640.3,65.2,6217.8285045,122.8,49.5,GA,1.8975696319,1.82387760736,22910.2185369,229.102185369
286,287,13,1979,55.4,905.0,655.7,72.6,6672.66376,117.5,51.7,GA,1.83320584022,1.71077151515,22080.0833478,220.800833478
287,288,13,1980,56.4,944.0,677.9,82.4,7348.6285982,115.2,55.3,GA,1.64433378641,1.6122634466,21424.8196592,214.248196592
288,289,13,1981,59.2,959.0,687.5,90.9,8047.6496015,114.1,55.9,GA,1.56457328933,1.47735889989,21268.8135277,212.688135277
289,290,13,1982,67.6,965.0,691.3,96.5,8138.8262541,111.5,64.3,GA,1.68289674611,1.60074350259,20261.5447045,202.615447045
290,291,13,1983,76.5,989.0,707.7,99.6,8744.5745898,111.3,71.0,GA,1.84518614458,1.71252570281,21091.9841481,210.919841481
291,292,13,1984,88.5,1001.0,717.3,103.9,9148.0574777,103.6,81.7,GA,2.04628354187,1.88905497594,21151.9993861,211.519993861
292,293,13,1985,97.6,1004.0,723.1,107.6,9493.8999531,100.7,87.4,GA,2.17909234201,1.95135933086,21196.8080774,211.968080774
293,294,13,1986,99.9,1002.0,726.0,109.6,9883.7587436,96.7,97.8,GA,2.18974237226,2.14371175182,21664.549868,216.64549868
294,295,13,1987,107.1,998.0,726.0,113.6,10386.802344,95.0,102.7,GA,2.26490102113,2.1718518662,21965.5268302,219.655268302
295,296,13,1988,121.9,1003.0,732.0,118.3,11177.0,84.5,112.9,GA,2.47546647506,2.2927002874,22697.5297718,226.975297718
296,297,13,1989,133.6,1014.0,742.0,124.0,12041.0,78.4,118.6,GA,2.58834916129,2.29774109677,23328.0780323,233.280780323
297,298,13,1990,141.3,1027.3,751.7,130.7,13318.0,90.1,129.5,GA,2.59719562357,2.38030313695,24479.4418363,244.794418363
298,299,13,1991,144.4,1059.9,777.4,136.2,14079.0,85.4,127.0,GA,2.54699547724,2.24008604993,24833.2059031,248.332059031
299,300,13,1992,167.2,1088.5,802.2,140.3,14572.0,85.1,155.1,GA,2.86296929437,2.65578072701,24951.6677976,249.516677976
330,331,15,1963,24.4,4780.0,3206.7,30.6,2204.3263141,138.5,24.1,HI,1.91560732026,1.89205477124,17305.8345227,173.058345227
331,332,15,1964,26.0,4832.0,3244.2,31.0,2344.6110023,134.3,25.0,HI,2.01488258065,1.93738709677,18169.6764112,181.696764112
332,333,15,1965,26.0,4893.0,3296.9,31.5,2562.25857,135.3,24.5,HI,1.98290031746,1.86850222222,19541.166661,195.41166661
333,334,15,1966,28.8,4973.0,3365.1,32.4,2702.5432582,132.1,24.7,HI,2.13543111111,1.83142876543,20038.5241413,200.385241413
334,335,15,1967,29.1,5012.0,3411.1,33.4,2784.032158,134.8,25.0,HI,2.09307413174,1.79817365269,20024.6930991,200.246930991
335,336,15,1968,29.8,5065.0,3472.5,34.8,2970.7345739,134.3,26.3,HI,2.05719333333,1.81557666667,20507.9710085,205.079710085
336,337,15,1969,29.7,5118.0,3514.8,36.7,3194.5711721,132.9,27.0,HI,1.94414419619,1.76740381471,20911.4713924,209.114713924
337,338,15,1970,30.6,5193.0,3616.5,38.8,3304.9422135,134.6,28.3,HI,1.89464474227,1.75223680412,20463.0437526,204.630437526
338,339,15,1971,32.2,5239.0,3681.7,40.5,3570.039014,139.3,30.1,HI,1.91002449383,1.78545767901,21176.5899399,211.765899399
339,340,15,1972,32.5,5278.0,3743.1,41.8,3812.4427032,149.2,30.6,HI,1.86786363636,1.75866545455,21911.1479724,219.111479724
340,341,15,1973,32.9,5304.0,3794.9,44.4,4427.2197192,156.0,30.6,HI,1.78012711712,1.65568054054,23954.4494699,239.544494699
341,342,15,1974,34.5,5318.0,3840.0,49.3,4611.859125,159.6,31.5,HI,1.68116470588,1.53497647059,22473.3182303,224.733182303
342,343,15,1975,36.7,5312.0,3869.8,53.8,5024.4611492,162.4,33.3,HI,1.63878460967,1.48696260223,22435.9934691,224.359934691
343,344,15,1976,38.7,5326.0,3912.0,56.9,5521.6465883,166.6,36.0,HI,1.63394256591,1.51994657293,23312.799469,233.12799469
344,345,15,1977,40.6,5352.0,3960.0,60.6,6012.6429971,173.0,36.9,HI,1.60950191419,1.46282316832,23835.8630867,238.358630867
345,346,15,1978,50.0,5387.0,4013.7,65.2,6663.5226902,150.9,41.4,HI,1.8423006135,1.52542490798,24552.4238804,245.524238804
346,347,15,1979,52.5,5400.0,4045.4,72.6,7358.7571009,148.9,43.4,HI,1.73724380165,1.4361215427,24350.3907836,243.503907836
347,348,15,1980,53.7,5490.0,4103.9,82.4,7760.0125694,146.9,46.3,HI,1.56561567961,1.34986975728,22624.2036362,226.242036362
348,349,15,1981,58.3,5468.0,4102.0,90.9,8407.7977473,148.5,49.4,HI,1.54078754675,1.3055729813,22220.6347593,222.206347593
349,350,15,1982,65.1,5471.0,4115.4,96.5,8612.0357493,147.7,56.3,HI,1.62065944041,1.40158412435,21439.596065,214.39596065
350,351,15,1983,75.7,5479.0,4134.6,99.6,9060.7404505,143.0,66.4,HI,1.82589008032,1.60157333333,21854.5787436,218.545787436
351,352,15,1984,85.2,5498.0,4164.4,103.9,10077.80444,137.8,75.4,HI,1.9699814437,1.74338733397,23301.7461737,233.017461737
352,353,15,1985,88.8,5500.0,4186.4,107.6,10502.784525,135.3,79.3,HI,1.98261680297,1.77051252788,23449.321033,234.49321033
353,354,15,1986,93.6,5503.0,4211.4,109.6,11140.254652,137.6,85.4,HI,2.05165051095,1.87191189781,24418.7063556,244.187063556
354,355,15,1987,100.1,5531.0,4244.0,113.6,11803.512406,134.0,90.5,HI,2.11686827465,1.91385193662,24961.5194223,249.615194223
355,356,15,1988,109.3,5556.0,4275.0,118.3,12638.0,134.0,94.4,HI,2.21959381234,1.917014235,25664.4342181,256.644342181
356,357,15,1989,119.0,5593.0,4301.0,124.0,13451.0,132.5,103.8,HI,2.30549064516,2.01100780645,26059.7938387,260.597938387
357,358,15,1990,130.8,5613.2,4316.6,130.7,14441.0,128.3,115.6,HI,2.40419807192,2.12481114002,26543.5966029,265.435966029
358,359,15,1991,135.8,5680.1,4373.5,136.2,14773.0,127.2,120.5,HI,2.39530461087,2.12543597651,26057.3159178,260.573159178
359,360,15,1992,153.5,5732.7,4430.4,140.3,15882.0,128.2,135.8,HI,2.62838389166,2.32530640057,27194.7836921,271.947836921
360,361,16,1963,26.4,2758.0,1880.7,30.6,2153.014454,114.9,25.4,ID,2.07262431373,1.99411581699,16902.9928226,169.029928226
361,362,16,1964,27.9,2763.0,1889.4,31.0,2280.5627037,109.7,25.6,ID,2.162124,1.9838843871,17673.3310221,176.733310221
362,363,16,1965,28.1,2758.0,1897.1,31.5,2537.6999749,116.0,26.1,ID,2.14305765079,1.99052685714,19353.869561,193.53869561
363,364,16,1966,31.6,2764.0,1912.5,32.4,2722.3898404,108.2,26.2,ID,2.34304246914,1.9426491358,20185.6804228,201.856804228
364,365,16,1967,32.0,2772.0,1930.8,33.4,2744.8383324,113.7,27.5,ID,2.30166227545,1.97799101796,19742.7838809,197.427838809
365,366,16,1968,36.3,2775.0,1950.1,34.8,2918.3039519,109.2,29.2,ID,2.50591,2.01577333333,20146.0249479,201.460249479
366,367,16,1969,36.0,2781.0,1963.6,36.7,3165.2373632,107.9,29.9,ID,2.35653841962,1.95723607629,20719.4540378,207.194540378
367,368,16,1970,37.7,2825.0,2000.2,38.8,3369.3145626,108.5,33.9,ID,2.33425185567,2.09896917526,20861.6147748,208.616147748
368,369,16,1971,38.5,2849.0,2036.8,40.5,3507.0666722,108.4,34.7,ID,2.28372493827,2.05831832099,20803.0535571,208.030535571
369,370,16,1972,41.9,2856.0,2062.8,41.8,3892.7725792,109.4,37.7,ID,2.40810727273,2.16672181818,22372.8256779,223.728256779
370,371,16,1973,41.9,2858.0,2084.0,44.4,4829.4869246,110.6,37.7,ID,2.26709198198,2.03984171171,26131.0049734,261.310049734
371,372,16,1974,43.2,2861.0,2108.1,49.3,4793.7734147,116.1,38.0,ID,2.10511058824,1.85171764706,23359.7758632,233.597758632
372,373,16,1975,45.4,2873.0,2137.0,53.8,5289.6810093,120.5,42.8,ID,2.02727033457,1.91117115242,23620.2938095,236.202938095
373,374,16,1976,47.8,2894.0,2172.7,56.9,5794.7720779,124.4,44.7,ID,2.01815128295,1.88726699473,24465.9554465,244.659554465
374,375,16,1977,49.4,2903.0,2195.8,60.6,6047.8278052,125.5,45.9,ID,1.95835947195,1.81960930693,23975.3458847,239.753458847
375,376,16,1978,54.6,2906.0,2213.1,65.2,7016.1741165,127.1,49.9,ID,2.01179226994,1.83861601227,25851.8037585,258.518037585
376,377,16,1979,56.4,2902.0,2219.9,72.6,7617.1814688,124.2,52.2,ID,1.86629619835,1.72731669421,25205.5262719,252.055262719
377,378,16,1980,58.8,2913.0,2213.1,82.4,7957.9903918,124.6,57.3,ID,1.71430543689,1.67057315534,23201.4050942,232.014050942
378,379,16,1981,61.4,2899.0,2206.4,90.9,8951.8463531,132.9,59.9,ID,1.62271621562,1.58307331133,23658.4792132,236.584792132
379,380,16,1982,72.8,2905.0,2212.2,96.5,9118.1692706,116.2,64.7,ID,1.81235034197,1.6107014715,22699.6115326,226.996115326
380,381,16,1983,84.0,2905.0,2216.0,99.6,9124.2915866,115.6,74.8,ID,2.02608674699,1.80418200803,22007.8645944,220.078645944
381,382,16,1984,93.3,2910.0,2218.9,103.9,10180.391094,111.2,84.8,ID,2.15726841193,1.96073270452,23538.9454751,235.389454751
382,383,16,1985,99.5,2880.0,2209.3,107.6,10668.1356,109.4,92.3,ID,2.22151319703,2.06076048327,23818.4965056,238.184965056
383,384,16,1986,104.8,2850.0,2195.8,109.6,11155.880107,104.1,101.9,ID,2.29714715328,2.23358105839,24452.9563265,244.529563265
384,385,16,1987,117.1,2834.0,2190.0,113.6,11623.216894,101.1,108.5,ID,2.47637637324,2.29450757042,24580.2388534,245.802388534
385,386,16,1988,124.2,2834.0,2203.0,118.3,12213.0,100.2,114.6,ID,2.52217338969,2.32722278952,24801.3716653,248.013716653
386,387,16,1989,145.1,2840.0,2209.0,124.0,13138.0,94.4,118.9,ID,2.81114867742,2.30355325806,25453.3916774,254.533916774
387,388,16,1990,149.6,2846.1,2213.8,130.7,14647.0,95.4,129.1,ID,2.74975559296,2.37295084927,26922.2394185,269.222394185
388,389,16,1991,155.4,2864.6,2228.3,136.2,14873.0,97.1,132.5,ID,2.74101867841,2.33709765051,26233.7006461,262.337006461
389,390,16,1992,178.5,2882.0,2238.7,140.3,16089.0,95.2,153.1,ID,3.05645944405,2.62153468282,27549.2302495,275.492302495
390,391,17,1963,25.8,2261.0,1550.4,30.6,2148.6675472,115.8,25.8,IL,2.02551921569,2.02551921569,16868.8659108,168.688659108
391,392,17,1964,25.6,2237.0,1537.8,31.0,2316.5973895,111.2,25.7,IL,1.9838843871,1.99163393548,17952.5835634,179.525835634
392,393,17,1965,28.1,2248.0,1552.3,31.5,2488.6994018,107.8,26.1,IL,2.14305765079,1.99052685714,18980.1647457,189.801647457
393,394,17,1966,30.5,2275.0,1582.3,32.4,2639.9405641,101.7,26.2,IL,2.2614808642,1.9426491358,19574.3444863,195.743444863
394,395,17,1967,31.0,2281.0,1597.8,33.4,2768.2347914,101.2,27.5,IL,2.22973532934,1.97799101796,19911.0674655,199.110674655
395,396,17,1968,32.4,2291.0,1622.0,34.8,2945.5520162,100.1,29.2,IL,2.23668,2.01577333333,20334.1274185,203.341274185
396,397,17,1969,32.6,2321.0,1656.9,36.7,3163.5478984,102.6,29.9,IL,2.13397645777,1.95723607629,20708.3949025,207.083949025
397,398,17,1970,34.2,2249.0,1624.9,38.8,3411.7920131,114.0,33.9,IL,2.11754412371,2.09896917526,21124.6202593,211.246202593
398,399,17,1971,38.9,2247.0,1641.4,40.5,3717.4034652,102.8,34.7,IL,2.30745195062,2.05831832099,22050.7194782,220.507194782
399,400,17,1972,38.8,2259.0,1665.6,41.8,4125.2330821,111.0,37.7,IL,2.22994181818,2.16672181818,23708.8395864,237.088395864
400,401,17,1973,39.3,2269.0,1687.9,44.4,4790.6941963,115.2,37.7,IL,2.12641324324,2.03984171171,25921.1083546,259.211083546
401,402,17,1974,40.2,2275.0,1706.3,49.3,5095.2626059,118.6,38.0,IL,1.95892235294,1.85171764706,24828.9149572,248.289149572
402,403,17,1975,42.7,2287.0,1730.5,53.8,5498.9200528,123.4,43.5,IL,1.90670579926,1.94242862454,24554.6200335,245.546200335
403,404,17,1976,46.6,2309.0,1760.5,56.9,5587.5786652,127.7,44.7,IL,1.96748639719,1.88726699473,23591.1695644,235.911695644
404,405,17,1977,48.1,2331.0,1787.6,60.6,6407.4100691,127.9,45.9,IL,1.90682369637,1.81960930693,25400.8344119,254.008344119
405,406,17,1978,52.6,2347.0,1810.8,65.2,7177.1754331,127.1,49.9,IL,1.9381002454,1.83861601227,26445.0294072,264.450294072
406,407,17,1979,54.8,2369.0,1832.2,72.6,8258.8105042,126.4,52.2,IL,1.81335162534,1.72731669421,27328.6997285,273.286997285
407,408,17,1980,58.3,2363.0,1814.7,82.4,8365.2008391,127.1,57.3,IL,1.69972800971,1.67057315534,24388.6212231,243.886212231
408,409,17,1981,59.8,2383.0,1828.3,90.9,9461.4385052,132.0,59.9,IL,1.58043045105,1.58307331133,25005.2600741,250.052600741
409,410,17,1982,65.1,2408.0,1843.8,96.5,10019.466242,130.9,64.7,IL,1.62065944041,1.6107014715,24943.383338,249.43383338
410,411,17,1983,77.0,2425.0,1856.4,99.6,10400.176754,127.6,74.8,IL,1.85724618474,1.80418200803,25085.3098662,250.853098662
411,412,17,1984,91.0,2438.0,1867.0,103.9,11277.375495,121.7,84.8,IL,2.10408816169,1.96073270452,26075.3761253,260.753761253
412,413,17,1985,97.5,2449.0,1873.8,107.6,11843.747572,115.7,93.7,IL,2.17685966543,2.09201795539,26443.2578226,264.432578226
413,414,17,1986,103.0,2459.0,1887.3,109.6,12517.553026,109.4,101.9,IL,2.25769233577,2.23358105839,27437.653912,274.37653912
414,415,17,1987,114.5,2476.0,1898.0,113.6,12827.336648,105.2,108.5,IL,2.42139278169,2.29450757042,27126.655343,271.26655343
415,416,17,1988,123.9,2495.0,1912.0,118.3,13425.0,103.2,114.6,IL,2.51608118343,2.32722278952,27262.6229924,272.626229924
416,417,17,1989,136.5,2513.0,1920.0,124.0,14103.0,96.5,118.9,IL,2.6445333871,2.30355325806,27322.9702258,273.229702258
417,418,17,1990,145.8,2518.1,1923.9,130.7,15398.0,94.3,129.1,IL,2.67990885998,2.37295084927,28302.6314308,283.026314308
418,419,17,1991,145.7,2535.4,1932.1,136.2,15849.0,91.8,132.5,IL,2.56992549192,2.33709765051,27955.2155947,279.552155947
419,420,17,1992,174.2,2563.8,1913.0,140.3,16982.0,90.0,153.1,IL,2.98283044904,2.62153468282,29078.3161226,290.783161226
420,421,18,1963,24.1,3121.0,2106.7,30.6,1724.5821178,126.3,24.4,IN,1.89205477124,1.91560732026,13539.4349559,135.394349559
421,422,18,1964,25.0,3163.0,2142.2,31.0,1792.8512029,127.0,25.2,IN,1.93738709677,1.95288619355,13893.7871477,138.937871477
422,423,18,1965,24.5,3173.0,2157.6,31.5,1935.6911347,128.7,25.1,IN,1.86850222222,1.91426146032,14762.6252519,147.626252519
423,424,18,1966,24.7,3181.0,2176.8,32.4,2089.0340027,134.0,24.7,IN,1.83142876543,1.83142876543,15489.5423664,154.895423664
424,425,18,1967,25.0,3201.0,2207.5,33.4,2237.1254025,139.3,26.3,IN,1.79817365269,1.89167868263,16090.9598262,160.909598262
425,426,18,1968,26.3,3224.0,2242.1,34.8,2405.1723811,142.8,27.1,IN,1.81557666667,1.87080333333,16603.7066709,166.037066709
426,427,18,1969,27.0,3232.0,2256.5,36.7,2587.9234704,146.3,28.3,IN,1.76740381471,1.85250103542,16940.3919029,169.403919029
427,428,18,1970,28.3,3219.0,2270.0,38.8,2812.6863042,155.8,28.8,IN,1.75223680412,1.78319505155,17415.1677056,174.151677056
428,429,18,1971,30.1,3280.0,2330.5,40.5,3006.9906232,163.5,30.2,IN,1.78545767901,1.7913894321,17836.72591,178.3672591
429,430,18,1972,30.6,3303.0,2360.3,41.8,3239.1055124,179.4,29.9,IN,1.75866545455,1.71843454545,18616.0227722,186.160227722
430,431,18,1973,30.6,3325.0,2396.8,44.4,3653.9714908,201.9,30.1,IN,1.65568054054,1.62862693694,19770.6192582,197.706192582
431,432,18,1974,31.5,3356.0,2440.0,49.3,4052.0327714,212.4,31.3,IN,1.53497647059,1.52523058824,19745.3173402,197.453173402
432,433,18,1975,33.3,3392.0,2484.2,53.8,4380.7746732,223.0,33.6,IN,1.48696260223,1.50035866171,19561.7060296,195.617060296
433,434,18,1976,36.0,3439.0,2537.0,56.9,4802.992707,230.9,37.9,IN,1.51994657293,1.6001659754,20278.5897357,202.785897357
434,435,18,1977,36.9,3468.0,2574.5,60.6,5232.562796,229.4,38.4,IN,1.46282316832,1.52228752475,20743.3986115,207.433986115
435,436,18,1978,41.4,3490.0,2603.3,65.2,5753.5084296,224.7,42.8,IN,1.52542490798,1.57700932515,21199.3842192,211.993842192
436,437,18,1979,43.4,3527.0,2641.7,72.6,6409.9419398,214.9,45.8,IN,1.4361215427,1.5155384022,21210.7274359,212.107274359
437,438,18,1980,46.3,3661.0,2737.8,82.4,6775.4441182,215.3,48.5,IN,1.34986975728,1.41401043689,19753.7086551,197.537086551
438,439,18,1981,49.4,3662.0,2745.5,90.9,7506.4484751,209.7,51.8,IN,1.3055729813,1.36900162816,19838.494564,198.38494564
439,440,18,1982,56.3,3667.0,2757.0,96.5,7988.5332449,210.6,56.4,IN,1.40158412435,1.40407361658,19887.3914261,198.873914261
440,441,18,1983,66.4,3714.0,2800.2,99.6,8272.1125213,201.1,68.8,IN,1.60157333333,1.6594615261,19952.401844,199.52401844
441,442,18,1984,75.4,3723.0,2812.7,103.9,9062.9836143,183.2,76.0,IN,1.74338733397,1.75726044273,20955.2928928,209.552928928
442,443,18,1985,79.3,3728.0,2829.1,107.6,9282.4949801,182.4,83.6,IN,1.77051252788,1.86651762082,20724.8091453,207.248091453
443,444,18,1986,85.4,3726.0,2841.6,109.6,9722.5680053,179.8,91.3,IN,1.87191189781,2.0012360219,21311.2303588,213.112303588
444,445,18,1987,90.5,3727.0,2855.0,113.6,10328.587422,171.2,94.6,IN,1.91385193662,2.00055683099,21842.4166189,218.424166189
445,446,18,1988,94.4,3727.0,2867.0,118.3,11089.0,173.2,102.1,IN,1.917014235,2.07338086221,22518.8250549,225.188250549
446,447,18,1989,103.8,3727.0,2874.0,124.0,11873.0,171.6,109.4,IN,2.01100780645,2.11950148387,23002.597,230.02597
447,448,18,1990,115.6,3735.1,2880.3,130.7,12879.0,182.5,128.6,IN,2.12481114002,2.36376048967,23672.5282632,236.725282632
448,449,18,1991,120.5,3763.5,2903.6,136.2,13338.0,170.8,132.5,IN,2.12543597651,2.33709765051,23526.1950661,235.261950661
449,450,18,1992,135.8,3806.1,2942.1,140.3,14664.0,167.6,153.1,IN,2.32530640057,2.62153468282,25109.1996009,251.091996009
450,451,19,1963,30.1,3410.0,2194.0,30.6,1675.9379252,114.0,27.0,IA,2.36310575163,2.11972941176,13157.5367124,131.575367124
451,452,19,1964,30.1,3493.0,2253.6,31.0,1782.5702302,114.0,27.3,IA,2.33261406452,2.11562670968,13814.1142523,138.141142523
452,453,19,1965,30.3,3560.0,2305.5,31.5,1910.3278032,117.5,27.2,IA,2.31084152381,2.07441879365,14569.1907978,145.691907978
453,454,19,1966,30.0,3624.0,2363.2,32.4,2054.1808183,119.7,30.3,IA,2.22440740741,2.24665148148,15231.1167613,152.311167613
454,455,19,1967,31.5,3663.0,2404.5,33.4,2236.2605089,120.0,30.4,IA,2.2656988024,2.18657916168,16084.7389107,160.847389107
455,456,19,1968,32.5,3710.0,2455.5,34.8,2413.3103738,117.3,30.9,IA,2.24358333333,2.13313,16659.8859471,166.598859471
456,457,19,1969,33.3,3745.0,2467.0,36.7,2511.8949576,115.9,30.9,IA,2.17979803815,2.02269547684,16442.7138156,164.427138156
457,458,19,1970,34.3,3643.0,2467.0,38.8,2709.0641253,115.9,36.2,IA,2.1237357732,2.2413771134,16773.575495,167.73575495
458,459,19,1971,39.3,3696.0,2530.5,40.5,2877.0603038,119.8,37.5,IA,2.33117896296,2.22440740741,17066.0113369,170.660113369
459,460,19,1972,40.0,3737.0,2580.5,41.8,3075.2354367,125.3,37.4,IA,2.29890909091,2.14948,17674.2167553,176.742167553
460,461,19,1973,39.9,3753.0,2616.0,44.4,3410.2218287,126.7,37.3,IA,2.15887756757,2.01819882883,18451.7579108,184.517579108
461,462,19,1974,41.6,3774.0,2658.3,49.3,3855.8643862,129.9,41.4,IA,2.02714352941,2.01739764706,18789.4003384,187.894003384
462,463,19,1975,44.3,3829.0,2722.8,53.8,4252.2146519,133.6,43.0,IA,1.97815144981,1.92010185874,18987.6401322,189.876401322
463,464,19,1976,48.1,3883.0,2781.4,56.9,4694.839314,139.6,46.4,IA,2.03081750439,1.95904224956,19821.9581272,198.219581272
464,465,19,1977,48.9,3935.0,2839.1,60.6,5161.6071395,140.0,48.8,IA,1.9385380198,1.93457372937,20462.1097816,204.621097816
465,466,19,1978,54.2,3978.0,2889.1,65.2,5786.3114922,142.7,53.6,IA,1.99705386503,1.97494625767,21320.2504239,213.202504239
466,467,19,1979,57.1,4018.0,2933.3,72.6,6416.0456706,140.1,56.5,IA,1.88945944904,1.86960523416,21230.9248998,212.309248998
467,468,19,1980,60.0,4204.0,3079.4,82.4,7284.1935875,143.8,59.7,IA,1.74929126214,1.74054480583,21236.9603239,212.369603239
468,469,19,1981,62.6,4308.0,3160.2,90.9,8164.413086,144.0,63.0,IA,1.65443053905,1.6650019802,21577.4031037,215.774031037
469,470,19,1982,70.3,4362.0,3200.6,96.5,8669.4075869,143.9,69.2,IA,1.75011303627,1.72272862176,21582.4228088,215.824228088
470,471,19,1983,80.7,4438.0,3256.4,99.6,8984.2746761,133.7,78.6,IA,1.94649048193,1.89583831325,21670.1426816,216.701426816
471,472,19,1984,90.7,4462.0,3274.6,103.9,9465.1260136,128.9,89.0,IA,2.09715160731,2.05784446583,21885.1204331,218.851204331
472,473,19,1985,103.0,4485.0,3294.8,107.6,9747.8022183,125.0,96.4,IA,2.29965687732,2.15230022305,21763.6897185,217.636897185
473,474,19,1986,105.1,4499.0,3313.1,109.6,9902.72085,121.2,103.6,IA,2.3037229562,2.27084394161,21706.1135595,217.061135595
474,475,19,1987,117.8,4461.0,3290.0,113.6,10098.884053,116.5,113.0,IA,2.49117964789,2.38967147887,21356.6506105,213.566506105
475,476,19,1988,120.4,4408.0,3250.0,118.3,10793.0,110.9,119.9,IA,2.44500544379,2.43485176669,21917.7273711,219.177273711
476,477,19,1989,130.7,4382.0,3239.0,124.0,11348.0,103.6,125.8,IA,2.53216493548,2.43723296774,21985.4687742,219.854687742
477,478,19,1990,143.4,4348.0,3213.9,130.7,12764.0,101.5,139.9,IA,2.63579513389,2.57146261668,23461.1499923,234.611499923
478,479,19,1991,149.6,4381.0,3239.6,136.2,13349.0,107.2,142.7,IA,2.63871553598,2.51701007342,23545.5973862,235.455973862
479,480,19,1992,178.1,4417.0,3274.6,140.3,14163.0,108.5,160.8,IA,3.04961023521,2.75338195296,24251.3361939,242.513361939
480,481,20,1963,26.7,985.0,669.7,30.6,1878.7179278,138.4,24.2,KS,2.09617686275,1.89990562092,14749.5320295,147.495320295
